Market Capitalization,Short Term Debt,Long Term Debt,Other Liability,Total Asset,Daily Risk-Free Rate
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.99,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.188,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.19,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.19,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.28,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.19,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.28,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.19,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.19,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.19,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.38,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.5,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.63,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
1.33,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
1.77,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
1.77,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
1.77,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.21,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.21,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.1,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.54,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.1,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.1,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.1,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.1,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.1,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.21,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.21,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.21,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.1,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.21,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.21,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
2.65,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
3.98,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.42,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
4.42,7.0453692000000006,5.380938,0.024397199999998342,4.0160502,1.4e-05
